iter	RMSE
0	0.03568969775
1	0.03559028127
2	0.03537934112
3	0.03527190989
4	0.03514184939
5	0.03505096104
6	0.03494405228
7	0.0348674048
8	0.03474587011
9	0.03460216153
10	0.0344981618
11	0.03437489423
12	0.03424459547
13	0.03411201454
14	0.03399749581
15	0.03385313702
16	0.03377229081
17	0.03369903738
18	0.03362146568
19	0.03349548815
20	0.03339591918
21	0.03325694791
22	0.0331496793
23	0.03303083721
24	0.03291059981
25	0.03279659189
26	0.03270103769
27	0.03258428653
28	0.03247400599
29	0.03235359942
30	0.03224123749
31	0.03211303447
32	0.03201685531
33	0.03190379922
34	0.03176513237
35	0.03169491452
36	0.03159160522
37	0.03152762399
38	0.03141254647
39	0.03135240803
40	0.03127297266
41	0.03119690721
42	0.03110251233
43	0.03101567125
44	0.03093300209
45	0.03086654569
46	0.03079191538
47	0.03065067562
48	0.03054065629
49	0.030469634
50	0.03040411143
51	0.03035435729
52	0.03029324196
53	0.03018995915
54	0.03014445137
55	0.03007684829
56	0.02999548711
57	0.02992360449
58	0.02981397753
59	0.02976531217
60	0.02965897214
61	0.0295967172
62	0.02949819368
63	0.02943928578
64	0.02936946249
65	0.02924567794
66	0.02920250267
67	0.02911419052
68	0.02897104994
69	0.02886857979
70	0.02874897616
71	0.0286514471
72	0.0285826259
73	0.02852922227
74	0.0284178891
75	0.02834473777
76	0.02828549464
77	0.02826339048
78	0.02822642662
79	0.02815484544
80	0.0281188282
81	0.02806844951
82	0.0279797212
83	0.02790611295
84	0.02786666961
85	0.02781785961
86	0.02775853636
87	0.02772764764
88	0.02768453649
89	0.02756585281
90	0.0274899391
91	0.02744042936
92	0.02735831711
93	0.0272804817
94	0.02724786777
95	0.02720134298
96	0.02709181064
97	0.02704437903
98	0.02700280264
99	0.02694394156
100	0.02688686553
101	0.0268274186
102	0.02678125004
103	0.02666806824
104	0.02659649586
105	0.02654177799
106	0.02647719711
107	0.02642960672
108	0.026309454
109	0.02625269746
110	0.02617074488
111	0.02610137019
112	0.02605898831
113	0.0259443706
114	0.0258774
115	0.02583982169
116	0.02574414492
117	0.02570622375
118	0.02564281606
119	0.02559730331
120	0.02553700754
121	0.02549511388
122	0.02542733778
123	0.0253895422
124	0.02531121633
125	0.02523741593
126	0.02517612782
127	0.0250652886
128	0.02497950522
129	0.02492216368
130	0.02486538537
131	0.02482681792
132	0.02471909254
133	0.02465370948
134	0.02461463204
135	0.02454865043
136	0.02448859568
137	0.02445218858
138	0.02442430268
139	0.02437326223
140	0.02431851039
141	0.0242811783
142	0.0242519096
143	0.0241939447
144	0.02411916173
145	0.02403673425
146	0.02397048615
147	0.02388537683
148	0.02378779322
149	0.02373832814
150	0.02368159739
151	0.02358395494
152	0.02352708426
153	0.02349397248
154	0.02343886534
155	0.02339103627
156	0.02329220179
157	0.02325206022
158	0.02320879482
159	0.02317025661
160	0.02312066283
161	0.02306848908
162	0.02302200013
163	0.02298041344
164	0.02294609415
165	0.02289157866
166	0.0228008665
167	0.02275672113
168	0.02271427638
169	0.02267370318
170	0.02264597928
171	0.02262180549
172	0.02256352819
173	0.02251169434
174	0.0224469236
175	0.0224164587
176	0.02238699398
177	0.02236740427
178	0.02232279821
179	0.02223983365
180	0.02220137768
181	0.0221702484
182	0.02210721405
183	0.02205048407
184	0.02202156053
185	0.02193464057
186	0.02184271504
187	0.02178790804
188	0.02175505702
189	0.02170419603
190	0.02166607003
191	0.02161571063
192	0.0215514138
193	0.02152249305
194	0.02147598005
195	0.02142978205
196	0.02138761029
197	0.02127458205
198	0.02124414027
199	0.02120273592
200	0.02113041646
201	0.02104439053
202	0.0210038366
203	0.02097436218
204	0.02092938184
205	0.02084715298
206	0.02081713659
207	0.02073302024
208	0.02071491846
209	0.02068017555
210	0.02062627097
211	0.02058699223
212	0.02053591412
213	0.02048667284
214	0.02042837211
215	0.02038886322
216	0.0203499834
217	0.02031327561
218	0.02022758004
219	0.02018607186
220	0.02012104388
221	0.02006458748
222	0.02002827164
223	0.01997553744
224	0.01994353791
225	0.01991985591
226	0.01989028817
227	0.019854195
228	0.01979945452
229	0.01976908552
230	0.01971548818
231	0.01967087228
232	0.01963903756
233	0.01958878429
234	0.01953899038
235	0.0195041544
236	0.01946274755
237	0.01942278605
238	0.01939065107
239	0.01935866393
240	0.01931213146
241	0.01926628075
242	0.01922980522
243	0.01919579491
244	0.01915954489
245	0.01912094984
246	0.01909540838
247	0.01905932171
248	0.01901945721
249	0.01898091522
250	0.01895307512
251	0.01889461009
252	0.0188654143
253	0.01879531079
254	0.01873362614
255	0.01865896018
256	0.01859791629
257	0.01857322321
258	0.01850516651
259	0.01843944464
260	0.01840900847
261	0.01835967061
262	0.0182934208
263	0.01823926098
264	0.01818890382
265	0.01814418331
266	0.01810232934
267	0.01805641447
268	0.01804400135
269	0.01799669367
270	0.01794934444
271	0.01788956112
272	0.0178288953
273	0.01779512087
274	0.01775098676
275	0.01771099818
276	0.01763570857
277	0.01757451092
278	0.0175319049
279	0.01745352283
280	0.01741523644
281	0.01737924969
282	0.01734350294
283	0.01731204554
284	0.01727360178
285	0.01724524763
286	0.0172079524
287	0.01717042417
288	0.0171251212
289	0.01709693365
290	0.01703303221
291	0.0169883076
292	0.01694735024
293	0.01691662086
294	0.01687764864
295	0.0168202308
296	0.0167772462
297	0.01670070147
298	0.01663374362
299	0.0166051015
300	0.01656826721
301	0.0165235661
302	0.01649074144
303	0.0164396493
304	0.01639766953
305	0.01634907074
306	0.01632245213
307	0.01630250631
308	0.01628410487
309	0.01626058612
310	0.01620833478
311	0.01619388311
312	0.01612688373
313	0.0160694254
314	0.01603017351
315	0.01599147872
316	0.01594730279
317	0.01592248851
318	0.01587299856
319	0.01583517078
320	0.01580769679
321	0.01577975545
322	0.01572674585
323	0.0156906081
324	0.01563734319
325	0.01561137722
326	0.0155799977
327	0.01553777602
328	0.01547580005
329	0.01542542748
330	0.01537920698
331	0.0153186489
332	0.01528570512
333	0.01525317836
334	0.01522424632
335	0.01518377565
336	0.01514794398
337	0.01511328095
338	0.01508811084
339	0.01503984889
340	0.0150007784
341	0.01497573798
342	0.01494805765
343	0.014928781
344	0.01489910635
345	0.01486869786
346	0.01483058054
347	0.01480239732
348	0.01475560691
349	0.01472652453
350	0.01469713512
351	0.01467126308
352	0.01462525723
353	0.01460607223
354	0.01457165296
355	0.0145326746
356	0.0144977492
357	0.01446174674
358	0.01442939637
359	0.0143947209
360	0.01435019021
361	0.01433452979
362	0.0143028472
363	0.01425113601
364	0.01424358186
365	0.01421291682
366	0.01418195716
367	0.01415174855
368	0.0141168357
369	0.01407334085
370	0.0140378671
371	0.01401428165
372	0.0139832658
373	0.01394983973
374	0.01394206882
375	0.01391645836
376	0.01389843942
377	0.01386628564
378	0.013846651
379	0.01380674563
380	0.01377030766
381	0.0137270758
382	0.01370129026
383	0.0136529523
384	0.01362498458
385	0.01357545313
386	0.01354401614
387	0.013504316
388	0.01346806808
389	0.0134319013
390	0.01339005028
391	0.01336665779
392	0.01333940993
393	0.01330603134
394	0.01328197296
395	0.01325599655
396	0.01322951201
397	0.01319250029
398	0.01316066565
399	0.01312076169
400	0.01307973754
401	0.01304490114
402	0.01300797627
403	0.01297783466
404	0.01294663562
405	0.01293579364
406	0.01290753531
407	0.01288189264
408	0.01285377617
409	0.01282709099
410	0.01279999043
411	0.01276903755
412	0.01273286542
413	0.0126972967
414	0.01267642761
415	0.01265623513
416	0.01261141136
417	0.01259007643
418	0.01255409752
419	0.01253638562
420	0.01250820385
421	0.01247471733
422	0.01242226065
423	0.01240137489
424	0.01237711937
425	0.01234380837
426	0.01231245312
427	0.01228846411
428	0.01226066405
429	0.01224838404
430	0.01220728522
431	0.01218297542
432	0.01216062297
433	0.01212092625
434	0.01208852278
435	0.01205800912
436	0.01203397783
437	0.0120058516
438	0.01197864827
439	0.01196158646
440	0.01193158435
441	0.01191551039
442	0.01189255147
443	0.01186701052
444	0.0118400242
445	0.01183312239
446	0.01180443051
447	0.01178603876
448	0.01175572377
449	0.01171655046
450	0.01168146716
451	0.01164746404
452	0.01161703848
453	0.01158940216
454	0.01157453714
455	0.01153843072
456	0.01150904028
457	0.01148259842
458	0.01145841673
459	0.01144197372
460	0.01139924962
461	0.01138509219
462	0.01136664906
463	0.01135245813
464	0.01132704285
465	0.01131376792
466	0.01129180381
467	0.01126383448
468	0.01123667858
469	0.01121803313
470	0.01120417201
471	0.01118098701
472	0.01114487878
473	0.01112140365
474	0.01111086964
475	0.01108652002
476	0.01106893346
477	0.0110418842
478	0.01102358377
479	0.01100041068
480	0.01097280361
481	0.0109600561
482	0.01092372737
483	0.01089781141
484	0.01087347334
485	0.01084900165
486	0.01083800574
487	0.01081628128
488	0.01078928791
489	0.01076247384
490	0.01073004145
491	0.01070808807
492	0.01068992338
493	0.01067289384
494	0.0106548849
495	0.01063668213
496	0.01061263318
497	0.01058591247
498	0.01056294895
499	0.01053607267
500	0.01051881009
501	0.01049909523
502	0.01048874099
503	0.01046285946
504	0.01044216399
505	0.01042348128
506	0.01040072763
507	0.01037248605
508	0.01036079624
509	0.01035034657
510	0.01032597734
511	0.01030675956
512	0.01028789588
513	0.01026386355
514	0.01024665019
515	0.01022975217
516	0.01020494322
517	0.01017740559
518	0.0101586064
519	0.01013879137
520	0.01012571507
521	0.01009310956
522	0.01007332963
523	0.01005550775
524	0.01004113323
525	0.01003222508
526	0.01000791984
527	0.009990056949
528	0.009955180711
529	0.009935018326
530	0.009909749314
531	0.00988714588
532	0.009861375708
533	0.009857634668
534	0.009835744335
535	0.009822478237
536	0.009803158981
537	0.009789685662
538	0.009773625634
539	0.009746961521
540	0.009732239992
541	0.009700717984
542	0.009674148378
543	0.009655252366
544	0.009629828014
