iter	Passed	Remaining
402	11694	17324
403	11716	17285
404	11743	17252
405	11763	17211
406	11788	17175
407	11810	17136
408	11830	17095
409	11852	17055
410	11880	17025
411	11908	16995
412	11931	16958
413	11954	16920
414	11977	16883
415	12005	16853
416	12030	16820
417	12055	16785
418	12078	16749
419	12108	16721
420	12133	16687
421	12156	16649
422	12186	16622
423	12219	16600
424	12243	16565
425	12267	16529
426	12289	16491
427	12319	16464
428	12345	16432
429	12371	16399
430	12393	16361
431	12421	16332
432	12447	16299
433	12470	16263
434	12500	16235
435	12544	16226
436	12576	16202
437	12607	16176
438	12639	16152
439	12667	16122
440	12700	16099
441	12724	16064
442	12761	16045
443	12793	16021
444	12830	16002
445	12869	15985
446	12907	15968
447	12937	15941
448	12963	15907
449	12986	15872
450	13009	15836
451	13030	15798
452	13057	15767
453	13080	15731
454	13102	15694
455	13127	15660
456	13149	15624
457	13173	15589
458	13194	15551
459	13220	15519
460	13243	15484
461	13272	15456
462	13297	15422
463	13324	15392
464	13350	15360
465	13373	15325
466	13406	15301
467	13442	15280
468	13491	15275
469	13521	15247
470	13546	15214
471	13575	15185
472	13604	15157
473	13634	15130
474	13663	15101
475	13695	15076
476	13723	15046
477	13753	15019
478	13778	14987
479	13808	14959
480	13832	14925
481	13857	14892
482	13882	14859
483	13909	14828
484	13933	14795
485	13955	14759
486	13975	14721
487	13997	14685
488	14027	14658
489	14058	14631
490	14085	14602
491	14127	14587
492	14192	14595
493	14239	14585
494	14282	14571
495	14323	14554
496	14356	14529
497	14398	14514
498	14433	14491
499	14457	14457
500	14484	14426
501	14511	14396
502	14534	14360
503	14557	14326
504	14587	14298
505	14615	14269
506	14638	14234
507	14661	14200
508	14686	14167
509	14707	14130
510	14730	14096
511	14752	14061
512	14774	14025
513	14803	13997
514	14831	13967
515	14861	13939
516	14884	13905
517	14912	13875
518	14938	13844
519	14961	13810
520	14993	13785
521	15018	13752
522	15043	13720
523	15085	13703
524	15115	13675
525	15145	13648
526	15175	13620
527	15202	13590
528	15231	13561
529	15259	13532
530	15281	13497
531	15306	13464
532	15330	13432
533	15357	13402
534	15386	13373
535	15411	13341
536	15440	13312
537	15464	13280
538	15512	13267
539	15553	13248
540	15591	13228
541	15624	13203
542	15663	13183
543	15691	13153
544	15727	13130
545	15756	13101
546	15782	13070
547	15819	13048
548	15866	13034
549	15902	13011
550	15945	12993
551	15982	12971
552	16013	12944
553	16041	12914
554	16072	12887
555	16111	12866
556	16144	12839
557	16169	12808
558	16207	12786
559	16241	12761
560	16267	12729
561	16294	12699
562	16332	12677
563	16365	12651
564	16394	12622
565	16423	12592
566	16450	12562
567	16482	12536
568	16515	12509
569	16552	12486
570	16586	12461
571	16625	12440
572	16667	12420
573	16712	12403
574	16742	12374
575	16770	12344
576	16797	12314
577	16821	12281
578	16843	12246
579	16874	12219
580	16922	12204
581	16981	12196
582	17027	12178
583	17093	12176
584	17130	12152
585	17176	12135
586	17211	12109
587	17242	12081
588	17271	12051
589	17298	12021
590	17329	11992
591	17362	11966
592	17393	11937
593	17423	11909
594	17460	11885
595	17496	11860
596	17527	11831
597	17555	11801
598	17588	11774
599	17626	11751
600	17659	11724
601	17690	11695
602	17723	11668
603	17757	11642
604	17788	11614
605	17824	11588
606	17862	11565
607	17896	11538
608	17926	11509
609	17953	11478
610	17981	11448
611	18007	11416
612	18043	11391
613	18079	11366
614	18112	11338
615	18146	11311
616	18178	11284
617	18226	11266
618	18261	11239
619	18293	11212
620	18328	11185
621	18354	11154
622	18380	11122
623	18408	11092
624	18442	11065
625	18467	11033
626	18491	11000
627	18521	10971
628	18549	10940
629	18572	10907
630	18599	10876
631	18629	10847
632	18659	10818
633	18684	10786
634	18712	10756
635	18737	10724
636	18762	10692
637	18788	10660
638	18813	10628
639	18840	10597
640	18868	10567
641	18892	10534
642	18915	10501
643	18941	10470
644	18962	10436
645	18989	10406
646	19019	10376
647	19045	10345
648	19071	10314
649	19098	10283
650	19125	10252
651	19150	10221
652	19175	10189
653	19203	10159
654	19230	10128
655	19264	10102
656	19291	10071
657	19360	10062
658	19383	10029
659	19405	9996
660	19428	9964
661	19451	9931
662	19473	9898
663	19493	9864
664	19515	9831
665	19538	9798
666	19560	9765
667	19582	9732
668	19608	9701
669	19632	9669
670	19655	9637
671	19677	9604
672	19699	9571
673	19721	9538
674	19742	9505
675	19763	9472
676	19785	9439
677	19808	9407
678	19828	9374
679	19855	9343
680	19878	9311
681	19901	9279
682	19922	9246
683	19947	9215
684	19975	9185
685	20004	9156
686	20027	9124
687	20052	9093
688	20073	9060
689	20099	9030
690	20124	8999
691	20154	8970
692	20179	8939
693	20205	8909
694	20239	8882
695	20276	8856
696	20307	8828
697	20338	8799
698	20365	8769
699	20392	8739
700	20425	8712
701	20454	8682
702	20480	8652
703	20506	8621
704	20528	8589
705	20553	8559
706	20575	8527
707	20599	8495
708	20620	8463
709	20643	8431
710	20668	8400
711	20688	8368
712	20710	8336
713	20732	8304
714	20767	8277
715	20788	8245
716	20809	8213
717	20830	8181
718	20854	8150
719	20878	8119
720	20903	8089
721	20929	8058
722	20950	8026
723	20973	7995
724	20994	7963
725	21028	7936
726	21054	7906
727	21087	7878
728	21132	7855
729	21163	7827
730	21216	7807
731	21250	7780
732	21279	7751
733	21315	7724
734	21373	7706
735	21402	7677
736	21441	7651
737	21470	7622
738	21499	7593
739	21523	7562
740	21552	7533
741	21580	7503
742	21609	7474
743	21649	7449
744	21679	7420
745	21700	7388
746	21725	7358
747	21760	7331
748	21787	7301
749	21820	7273
750	21851	7244
751	21878	7215
752	21907	7186
753	21937	7157
754	21972	7130
755	22001	7100
756	22023	7069
757	22053	7040
758	22084	7012
759	22110	6982
760	22134	6951
761	22155	6920
762	22176	6888
763	22200	6857
764	22222	6826
765	22243	6795
766	22264	6763
767	22287	6732
768	22309	6701
769	22330	6670
770	22352	6639
771	22374	6607
772	22396	6576
773	22421	6546
774	22475	6525
775	22506	6496
776	22542	6469
777	22571	6440
778	22597	6410
779	22620	6380
780	22649	6351
781	22676	6321
782	22705	6292
783	22733	6263
784	22757	6232
785	22783	6203
786	22805	6172
787	22827	6141
788	22853	6111
789	22877	6081
790	22898	6050
791	22919	6019
792	22939	5988
793	22961	5957
794	22984	5926
795	23004	5895
796	23026	5864
797	23047	5834
798	23067	5802
799	23091	5772
800	23111	5741
801	23133	5711
802	23155	5680
803	23177	5650
804	23199	5619
805	23220	5589
806	23247	5559
807	23284	5532
808	23312	5504
809	23335	5473
810	23358	5443
811	23379	5413
812	23400	5382
813	23422	5352
814	23451	5323
815	23475	5293
816	23495	5262
817	23519	5232
818	23541	5202
819	23564	5172
820	23585	5142
821	23609	5112
822	23635	5083
823	23665	5054
824	23686	5024
825	23708	4994
826	23741	4966
827	23762	4936
828	23784	4906
829	23808	4876
830	23838	4848
831	23875	4821
832	23911	4793
833	23959	4768
834	23999	4742
835	24045	4717
836	24099	4693
837	24135	4665
838	24161	4636
839	24184	4606
840	24209	4577
841	24233	4547
842	24258	4517
843	24282	4488
844	24304	4458
845	24325	4428
846	24351	4398
847	24376	4369
848	24398	4339
849	24420	4309
850	24442	4279
851	24465	4249
852	24486	4219
853	24515	4191
854	24540	4161
855	24565	4132
856	24588	4102
857	24609	4072
858	24634	4043
859	24657	4013
860	24679	3984
861	24701	3954
862	24725	3925
863	24746	3895
864	24777	3867
865	24802	3837
866	24840	3810
867	24876	3783
868	24900	3753
869	24925	3724
870	24948	3694
871	24973	3665
872	24995	3636
873	25016	3606
874	25045	3577
875	25071	3548
876	25095	3519
877	25119	3490
878	25150	3462
879	25181	3433
880	25216	3406
881	25247	3377
882	25278	3349
883	25309	3321
884	25338	3292
885	25366	3263
886	25396	3235
887	25425	3206
888	25450	3177
889	25473	3148
890	25497	3119
891	25527	3090
892	25548	3061
893	25572	3032
894	25604	3003
895	25632	2975
896	25662	2946
897	25689	2917
898	25713	2888
899	25738	2859
900	25761	2830
901	25787	2801
902	25810	2772
903	25833	2743
904	25858	2714
905	25879	2685
906	25902	2655
907	25923	2626
