iter	Passed	Remaining
402	14279	21153
403	14310	21111
404	14340	21067
405	14382	21041
406	14415	21003
407	14440	20953
408	14466	20903
409	14494	20858
410	14523	20813
411	14556	20774
412	14595	20744
413	14633	20713
414	14671	20681
415	14706	20645
416	14742	20610
417	14775	20572
418	14804	20528
419	14834	20485
420	14858	20435
421	14886	20389
422	14913	20342
423	14943	20300
424	14972	20256
425	15009	20223
426	15033	20174
427	15056	20122
428	15081	20072
429	15105	20023
430	15129	19973
431	15153	19924
432	15180	19878
433	15204	19829
434	15234	19787
435	15262	19743
436	15292	19701
437	15323	19661
438	15353	19620
439	15386	19583
440	15421	19547
441	15454	19511
442	15484	19468
443	15544	19466
444	15577	19428
445	15610	19391
446	15636	19344
447	15665	19301
448	15691	19256
449	15717	19210
450	15745	19166
451	15775	19125
452	15803	19082
453	15832	19041
454	15862	19000
455	15886	18952
456	15913	18908
457	15945	18870
458	15975	18829
459	16006	18790
460	16036	18749
461	16067	18711
462	16098	18671
463	16128	18631
464	16156	18588
465	16189	18551
466	16218	18510
467	16245	18466
468	16268	18419
469	16291	18371
470	16314	18322
471	16343	18282
472	16375	18244
473	16406	18206
474	16442	18173
475	16477	18139
476	16512	18104
477	16544	18067
478	16575	18029
479	16600	17983
480	16625	17939
481	16647	17891
482	16672	17846
483	16696	17799
484	16720	17754
485	16745	17709
486	16770	17665
487	16793	17619
488	16816	17573
489	16839	17526
490	16862	17480
491	16887	17436
492	16910	17390
493	16933	17345
494	16959	17301
495	16988	17262
496	17020	17225
497	17049	17186
498	17080	17148
499	17116	17116
500	17154	17085
501	17185	17048
502	17215	17010
503	17244	16970
504	17267	16925
505	17291	16881
506	17313	16835
507	17336	16790
508	17359	16745
509	17382	16700
510	17404	16654
511	17441	16624
512	17469	16583
513	17491	16538
514	17514	16494
515	17537	16450
516	17564	16409
517	17587	16365
518	17610	16320
519	17637	16280
520	17660	16236
521	17682	16192
522	17705	16147
523	17728	16104
524	17753	16062
525	17777	16020
526	17800	15976
527	17828	15937
528	17854	15896
529	17879	15855
530	17903	15812
531	17933	15776
532	17961	15736
533	17987	15696
534	18011	15655
535	18036	15613
536	18061	15572
537	18092	15536
538	18122	15500
539	18152	15463
540	18179	15423
541	18208	15386
542	18235	15347
543	18260	15306
544	18284	15265
545	18309	15224
546	18334	15184
547	18360	15144
548	18384	15102
549	18410	15062
550	18436	15023
551	18466	14987
552	18493	14948
553	18517	14907
554	18568	14888
555	18602	14855
556	18629	14816
557	18656	14778
558	18695	14749
559	18734	14719
560	18767	14686
561	18800	14652
562	18838	14622
563	18873	14589
564	18911	14559
565	18948	14529
566	18983	14497
567	19014	14461
568	19042	14424
569	19076	14390
570	19112	14359
571	19142	14323
572	19169	14285
573	19194	14245
574	19222	14208
575	19250	14170
576	19276	14131
577	19306	14096
578	19331	14055
579	19358	14018
580	19383	13979
581	19414	13943
582	19446	13909
583	19475	13872
584	19504	13836
585	19541	13805
586	19567	13767
587	19599	13733
588	19625	13694
589	19653	13657
590	19677	13617
591	19705	13580
592	19737	13546
593	19763	13508
594	19793	13472
595	19822	13436
596	19853	13401
597	19887	13368
598	19922	13337
599	19956	13304
600	19995	13275
601	20034	13245
602	20067	13211
603	20102	13179
604	20133	13145
605	20163	13109
606	20187	13070
607	20217	13034
608	20243	12996
609	20270	12959
610	20294	12920
611	20322	12884
612	20359	12853
613	20384	12814
614	20412	12778
615	20449	12747
616	20478	12711
617	20504	12674
618	20531	12637
619	20561	12601
620	20592	12567
621	20624	12534
622	20659	12501
623	20689	12466
624	20719	12431
625	20746	12394
626	20773	12357
627	20802	12322
628	20830	12286
629	20861	12251
630	20890	12216
631	20919	12181
632	20947	12144
633	20976	12109
634	21002	12072
635	21031	12036
636	21060	12001
637	21087	11965
638	21113	11928
639	21141	11892
640	21166	11854
641	21196	11819
642	21224	11783
643	21250	11746
644	21279	11711
645	21308	11676
646	21349	11648
647	21381	11614
648	21412	11580
649	21441	11545
650	21470	11510
651	21500	11475
652	21528	11440
653	21555	11403
654	21580	11366
655	21606	11330
656	21633	11294
657	21661	11258
658	21695	11226
659	21732	11195
660	21762	11160
661	21789	11125
662	21819	11090
663	21848	11055
664	21877	11021
665	21904	10985
666	21929	10948
667	21957	10912
668	21987	10878
669	22021	10846
670	22058	10815
671	22089	10781
672	22121	10748
673	22149	10713
674	22180	10679
675	22206	10643
676	22227	10605
677	22250	10567
678	22272	10529
679	22294	10491
680	22317	10454
681	22339	10416
682	22360	10378
683	22392	10345
684	22418	10309
685	22439	10271
686	22461	10233
687	22484	10196
688	22509	10160
689	22532	10123
690	22555	10086
691	22578	10049
692	22603	10013
693	22626	9976
694	22650	9940
695	22673	9903
696	22698	9867
697	22720	9830
698	22743	9793
699	22766	9757
700	22788	9720
701	22811	9683
702	22842	9650
703	22871	9616
704	22900	9582
705	22934	9550
706	22961	9515
707	22997	9484
708	23022	9449
709	23050	9414
710	23075	9379
711	23105	9346
712	23129	9310
713	23173	9282
714	23200	9247
715	23227	9213
716	23251	9177
717	23285	9145
718	23308	9109
719	23330	9072
720	23352	9036
721	23376	9001
722	23408	8968
723	23431	8932
724	23456	8897
725	23480	8861
726	23514	8829
727	23542	8796
728	23572	8763
729	23596	8727
730	23622	8692
731	23650	8659
732	23682	8626
733	23715	8594
734	23746	8561
735	23775	8528
736	23813	8498
737	23852	8467
738	23884	8435
739	23914	8402
740	23949	8370
741	23988	8340
742	24020	8308
743	24052	8276
744	24101	8249
745	24135	8217
746	24177	8188
747	24219	8159
748	24251	8127
749	24286	8095
750	24318	8062
751	24351	8030
752	24384	7998
753	24416	7966
754	24448	7933
755	24481	7901
756	24532	7874
757	24563	7842
758	24606	7813
759	24637	7780
760	24670	7748
761	24707	7717
762	24740	7684
763	24776	7653
764	24807	7620
765	24846	7590
766	24877	7557
767	24912	7525
768	24952	7495
769	24988	7464
770	25025	7432
771	25057	7400
772	25106	7372
773	25146	7342
774	25196	7315
775	25237	7285
776	25289	7258
777	25337	7229
778	25371	7197
779	25410	7167
780	25447	7135
781	25487	7105
782	25537	7077
783	25582	7048
784	25614	7015
785	25649	6983
786	25692	6953
787	25725	6920
788	25756	6887
789	25787	6854
790	25818	6821
791	25851	6789
792	25885	6757
793	25920	6724
794	25965	6695
795	26025	6669
796	26084	6643
797	26145	6618
798	26190	6588
799	26220	6555
800	26254	6522
801	26291	6490
802	26324	6458
803	26358	6425
804	26392	6393
805	26427	6361
806	26465	6329
807	26501	6297
808	26537	6265
809	26570	6232
810	26601	6199
811	26635	6166
812	26667	6133
813	26699	6100
814	26731	6067
815	26772	6036
816	26809	6005
817	26843	5972
818	26894	5943
819	26927	5910
820	26964	5878
821	27004	5847
822	27040	5815
823	27077	5783
824	27123	5753
825	27161	5721
826	27192	5688
827	27223	5655
828	27256	5622
829	27286	5588
830	27322	5556
831	27356	5523
832	27417	5496
833	27542	5482
834	27710	5475
835	27837	5461
836	27957	5444
837	28056	5423
838	28155	5402
839	28269	5384
840	28410	5371
841	28522	5352
842	28566	5320
843	28642	5294
844	28684	5261
845	28724	5228
846	28759	5195
847	28796	5161
848	28829	5127
849	28864	5093
850	28897	5059
851	28933	5026
852	28966	4991
853	29002	4958
854	29047	4926
855	29088	4893
856	29121	4859
857	29156	4825
858	29197	4792
859	29238	4759
860	29273	4725
861	29307	4691
862	29351	4659
863	29386	4625
864	29428	4592
865	29460	4558
866	29494	4524
867	29534	4491
868	29568	4457
869	29608	4424
870	29643	4390
871	29677	4356
872	29716	4322
873	29761	4290
874	29803	4257
875	29844	4224
876	29890	4192
877	29926	4158
878	29984	4127
879	30026	4094
880	30061	4060
881	30100	4027
882	30141	3993
883	30183	3960
884	30226	3927
885	30261	3893
886	30296	3859
887	30332	3825
888	30377	3792
889	30414	3759
890	30445	3724
891	30479	3690
892	30514	3656
893	30548	3622
894	30597	3589
895	30687	3561
896	30728	3528
897	30764	3494
898	30799	3460
899	30837	3426
900	30876	3392
901	30909	3358
902	30949	3324
903	30986	3290
904	31024	3256
905	31058	3222
906	31093	3188
907	31132	3154
908	31170	3120
909	31204	3086
910	31278	3055
911	31342	3024
912	31387	2990
913	31430	2957
914	31480	2924
915	31524	2890
916	31557	2856
917	31593	2822
918	31636	2788
919	31676	2754
920	31717	2720
921	31764	2687
922	31800	2652
923	31842	2619
924	31879	2584
925	31916	2550
926	31956	2516
927	31995	2482
928	32058	2450
929	32118	2417
930	32153	2383
931	32191	2348
932	32227	2314
933	32264	2279
934	32296	2245
935	32329	2210
936	32372	2176
937	32416	2142
938	32460	2108
939	32495	2074
940	32547	2040
941	32590	2006
942	32639	1972
943	32685	1938
944	32750	1906
945	32796	1872
946	32841	1838
947	32898	1804
948	32963	1771
949	33001	1736
950	33043	1702
951	33082	1668
952	33124	1633
953	33164	1599
954	33203	1564
955	33249	1530
956	33293	1495
957	33331	1461
958	33372	1426
959	33405	1391
960	33448	1357
961	33491	1322
962	33532	1288
963	33577	1253
964	33625	1219
965	33675	1185
966	33710	1150
967	33745	1115
968	33791	1081
969	33861	1047
970	33914	1012
971	33952	978
972	33988	943
973	34035	908
974	34080	873
975	34127	839
976	34168	804
977	34244	770
978	34328	736
979	34377	701
980	34419	666
981	34489	632
982	34549	597
983	34609	562
984	34667	527
985	34721	493
986	34766	457
987	34837	423
988	34878	387
989	34919	352
990	34955	317
991	34999	282
992	35040	247
993	35083	211
994	35133	176
995	35168	141
996	35215	105
997	35255	70
998	35292	35
999	35327	0
