iter	Logloss
238	0.1884919161
239	0.1876736026
240	0.1874115087
241	0.1870934039
242	0.1865312958
243	0.1858001022
244	0.1854142244
245	0.1848450643
246	0.1842943122
247	0.1838154001
248	0.1833970026
249	0.1829741804
250	0.1826825698
251	0.181933995
252	0.1813330626
253	0.1810461153
254	0.1806921061
255	0.1801492959
256	0.1796442767
257	0.1793503985
258	0.1789718603
259	0.1786020743
260	0.1782309884
261	0.1775984396
262	0.1771138482
263	0.1766877686
264	0.1762256507
265	0.1755251903
266	0.1749068199
267	0.1745190714
268	0.1739161977
269	0.1732552325
270	0.1729230986
271	0.1725746927
272	0.1721546078
273	0.171698237
274	0.1713105466
275	0.170998585
276	0.1704415814
277	0.1699535392
278	0.1695387657
279	0.1691324307
280	0.1687978264
281	0.1681654897
282	0.1675870068
283	0.1672382528
284	0.1667165379
285	0.1661880113
286	0.1657280104
287	0.1652973532
288	0.1645619223
289	0.163999339
290	0.1636639846
291	0.1633524547
292	0.1629632607
293	0.1624987866
294	0.1620233486
295	0.1614038928
296	0.1609007823
297	0.1604390255
298	0.1600976211
299	0.1597299189
300	0.1593031756
301	0.1590090082
302	0.1587685462
303	0.1584072434
304	0.1580310155
305	0.1577905256
306	0.1574611728
307	0.1570142355
308	0.1563719988
309	0.1557700466
310	0.1549884268
311	0.1544366804
312	0.1541111455
313	0.1537246827
314	0.1530142626
315	0.1528489655
316	0.1521983483
317	0.151480372
318	0.1509690894
319	0.1505352664
320	0.1502509754
321	0.1498130979
322	0.1492697202
323	0.148954741
324	0.1484169455
325	0.1479360427
326	0.1475410753
327	0.1471859545
328	0.1468927771
329	0.1465451638
330	0.1462135538
331	0.1458993786
332	0.1454858099
333	0.1453034183
334	0.1449512854
335	0.1444633211
336	0.1441407407
337	0.1437324368
338	0.1433483395
339	0.1430107844
340	0.1427157483
341	0.1424007141
342	0.1418802391
343	0.1415183444
344	0.1408072336
345	0.1405007928
346	0.1398065992
347	0.1392898091
348	0.1387256382
349	0.1383488272
350	0.1379854077
351	0.1376434475
352	0.1374309765
353	0.1372505703
354	0.1368558429
355	0.136462705
356	0.1363011049
357	0.1358933934
358	0.135533771
359	0.1351114441
360	0.1348641626
361	0.1341709994
362	0.1339272028
363	0.1335756308
364	0.1330344849
365	0.1327655906
366	0.1323876041
367	0.132150616
368	0.1316939524
369	0.1314866998
370	0.131200866
371	0.130890451
372	0.1303613329
373	0.1301321815
374	0.1294767004
375	0.1293109696
376	0.1288248086
377	0.1283069036
378	0.1279682382
379	0.1275398351
380	0.1271460367
381	0.1267767611
382	0.1261728688
383	0.1256948055
384	0.1255908588
385	0.1253047537
386	0.1251442029
387	0.1248401912
388	0.1245717813
389	0.1243396488
390	0.1240060398
391	0.123739569
392	0.1230773759
393	0.1226918679
394	0.122329568
395	0.1218449963
396	0.1213956024
397	0.1208884054
398	0.1205002322
399	0.1201043749
400	0.1199645527
401	0.1196359228
402	0.1192433062
403	0.1189196885
404	0.1184051197
405	0.1180773496
406	0.1177077686
407	0.1173370294
408	0.1169854812
409	0.1167804204
410	0.1163753695
411	0.116123379
412	0.1158608762
413	0.1155932242
414	0.1152181367
415	0.1150223127
416	0.1147416747
417	0.1145584195
418	0.1140670433
419	0.1138504641
420	0.113701804
421	0.1134796463
422	0.113217826
423	0.1130356613
424	0.1127272017
425	0.112312655
426	0.112080686
427	0.1116052145
428	0.1113494911
429	0.1107582474
430	0.1103563922
431	0.1099219406
432	0.1094625799
433	0.1091529299
434	0.108638228
435	0.1082678403
436	0.1079110632
437	0.1074156153
438	0.107043723
439	0.1068502918
440	0.1067077811
441	0.1064289039
442	0.1061076475
443	0.105839705
444	0.1054356626
445	0.1051847809
446	0.1050113267
447	0.1046358519
448	0.1044298554
449	0.1042558825
450	0.1039771791
451	0.1037540938
452	0.1035910499
453	0.1032114563
454	0.1029431353
455	0.1026182833
456	0.1023050181
457	0.1019897467
458	0.1018776588
459	0.1016092597
460	0.1014142403
461	0.1012089517
462	0.1011524642
463	0.1008500274
464	0.100452691
465	0.1001309863
466	0.09979725318
467	0.09949808293
468	0.09921972827
469	0.09891243703
470	0.09860591846
471	0.09838598846
472	0.09815810681
473	0.09787394212
474	0.09771368817
475	0.09742658204
476	0.09716741856
477	0.09683791101
478	0.09660929177
479	0.09632744397
480	0.09584245977
481	0.09535237305
482	0.09490140115
483	0.09450751743
484	0.09409488428
485	0.09378945225
486	0.09357555523
487	0.09333306883
488	0.09314848451
489	0.09279626975
490	0.09243358694
491	0.09209748871
492	0.09180586075
493	0.09144192249
494	0.09116297809
495	0.09090384193
496	0.09052060892
497	0.09019938877
498	0.0898732986
499	0.089632483
500	0.08935158134
501	0.0890647086
502	0.08872187711
503	0.08833278478
504	0.08808117875
505	0.08786680627
506	0.08751998177
507	0.08716889009
508	0.08707242568
509	0.0869654035
510	0.08680062596
511	0.0866462353
512	0.0863463276
513	0.08621231947
514	0.0859161861
515	0.08571307711
516	0.08543237816
517	0.08509900882
518	0.08483304207
519	0.08468596347
520	0.08446010723
521	0.08420268673
522	0.0840479648
523	0.08370516095
524	0.08346466054
525	0.08329599225
526	0.08304489292
527	0.08266593623
528	0.08228146108
529	0.0820205471
530	0.081727044
531	0.08158765498
532	0.0813365039
533	0.08109645082
534	0.08091570817
535	0.08072040593
536	0.08066644048
537	0.08055073361
538	0.08030762217
539	0.08002315406
540	0.07978299076
541	0.07962616904
542	0.07946546052
543	0.07920460058
544	0.07897030384
545	0.07868438141
546	0.07851462888
547	0.07828029939
548	0.07809247019
549	0.07792968813
550	0.07772990185
551	0.07748909406
552	0.07709976188
553	0.07661956445
554	0.07638193922
555	0.07617667478
556	0.07598940934
557	0.07593810862
558	0.07589628465
559	0.07568823176
560	0.0756234278
561	0.07548242047
562	0.07521990606
563	0.07509148199
564	0.07485963307
565	0.07479798106
566	0.07472556988
567	0.07467441594
568	0.07443743761
569	0.07411515741
570	0.07396291716
571	0.0737860531
572	0.07353621763
573	0.07330610779
574	0.07318443614
575	0.0731326414
576	0.07284598433
577	0.07269395713
578	0.07265799834
579	0.07251115687
580	0.07246811214
581	0.07234774271
582	0.07209286244
583	0.07187237866
584	0.07162364732
585	0.07156907625
586	0.07131247551
587	0.07110942116
588	0.07082759772
589	0.07069542233
590	0.07046208767
591	0.0703014323
592	0.07013715784
593	0.06991295693
594	0.06968309337
595	0.06944490761
596	0.06921893552
597	0.06908901034
598	0.06904586393
599	0.06879929235
600	0.06866078118
601	0.06846675004
602	0.06825986323
603	0.06806382706
604	0.0678636641
605	0.06772028448
606	0.06753727909
607	0.06728085556
608	0.06697472737
609	0.06691048212
610	0.06675777406
611	0.06654376561
612	0.06633837109
613	0.06615364058
614	0.06597835311
615	0.0659495492
616	0.06575745077
617	0.06552783682
618	0.0653803564
619	0.06522716587
620	0.06508302725
621	0.06495264362
622	0.06491447859
623	0.0647160698
624	0.06439575884
625	0.06412570643
626	0.06394403508
627	0.06385024517
628	0.06372772665
629	0.063531493
630	0.06332311473
631	0.063278312
632	0.06304727756
633	0.06290540891
634	0.06284592381
635	0.06262966788
636	0.06251276303
637	0.06232499984
638	0.06218500997
639	0.06200100091
640	0.06182175139
641	0.06178765684
642	0.06155128243
643	0.0612697303
644	0.06120747348
645	0.06111129918
646	0.06092342462
647	0.06070136578
648	0.06059851402
649	0.060432591
650	0.06025868905
651	0.06015487838
652	0.06007606681
653	0.05985825363
654	0.05968220689
655	0.05951642117
656	0.05938067982
657	0.05917288853
658	0.05909964891
659	0.05894604629
660	0.05884811644
661	0.05868280047
662	0.05849077146
663	0.0583457729
664	0.05824450939
665	0.05807548608
666	0.0580020522
667	0.05784796689
668	0.05767103997
669	0.05749182853
670	0.05730859646
671	0.05710530621
672	0.05699913977
673	0.05694777784
674	0.05681398485
675	0.05665224486
676	0.05646934471
677	0.05631821198
678	0.0562006324
679	0.05593714354
680	0.05578225588
681	0.05565898908
682	0.05559210477
683	0.05538045038
684	0.0552032662
685	0.05506165787
686	0.05491030737
687	0.05485512289
688	0.05473446583
689	0.0546346054
690	0.05449473684
691	0.05436401104
692	0.05423439984
693	0.05409443728
694	0.05397124753
695	0.05381981222
696	0.05366902198
697	0.05360231905
698	0.05351093774
699	0.05339611597
700	0.05321084548
701	0.05309890026
702	0.05292757471
703	0.05283307975
704	0.05268477471
705	0.05253371037
706	0.05246147167
707	0.05229993502
708	0.0521051575
709	0.05190816464
710	0.05183038836
711	0.0517158458
712	0.05164842579
713	0.05157023307
714	0.05144670966
715	0.05129410058
716	0.05116880289
717	0.05112139648
718	0.0509906172
719	0.05082022959
720	0.05075301127
721	0.05068401259
722	0.05060438708
723	0.05048812017
724	0.05034548511
725	0.05019530068
726	0.05009333314
727	0.04997655191
728	0.04984408389
729	0.04974123978
730	0.04960692781
731	0.04948482277
732	0.04941494469
733	0.04928101843
734	0.04914761101
735	0.0490565893
736	0.04898801196
737	0.04886710169
738	0.04874503028
739	0.04861479576
740	0.04849805919
741	0.04838438744
742	0.04825391271
743	0.04813193678
744	0.0479721906
745	0.04780732719
746	0.04764237605
747	0.04755626611
748	0.04748003145
749	0.04741160429
750	0.04726057456
751	0.04709577786
752	0.04698827951
753	0.04689285877
754	0.04678390473
755	0.04670436644
756	0.04657993373
757	0.04648213248
758	0.04639800888
759	0.04628849337
760	0.04617205571
761	0.04611120611
762	0.04600465936
763	0.04594945622
764	0.04589914371
765	0.04580241594
766	0.04566543039
767	0.04552802771
768	0.04549015748
769	0.0454040943
770	0.04531006258
771	0.04516235393
772	0.04505202985
773	0.04498655557
774	0.04487001409
775	0.04480275254
776	0.0446511566
777	0.04451853436
778	0.04443718636
779	0.04431552227
780	0.04423089909
781	0.04410803169
782	0.04405030619
783	0.04398510825
784	0.04388556734
785	0.04374969453
786	0.04370693246
787	0.04361959246
788	0.04350503373
789	0.04342097591
790	0.04330026163
791	0.04319436561
792	0.04310699527
793	0.0429953865
794	0.04291189598
795	0.04282017891
796	0.04274924933
797	0.04259046736
798	0.04249868857
799	0.04234300743
800	0.04221132464
801	0.04210657641
802	0.04203439228
803	0.04193689059
804	0.04181868734
805	0.04174896346
806	0.04170478185
807	0.04161831508
808	0.04149924145
809	0.04142685513
810	0.04128968969
811	0.04117624168
812	0.0410448819
813	0.04091263285
814	0.04087876095
815	0.04078828543
816	0.04072178133
817	0.04065065615
818	0.040617174
819	0.04048332345
820	0.04035758556
821	0.0402375055
822	0.04015661709
823	0.04007772593
824	0.04000594337
825	0.03994395624
826	0.03989350408
827	0.03981766816
828	0.03973562294
829	0.03966212853
830	0.03960249382
831	0.0395115803
832	0.03939678563
833	0.03929559218
834	0.03924801497
835	0.03911588494
836	0.03900525659
837	0.03893194509
838	0.03888980748
839	0.03878959588
840	0.03872154062
841	0.03866105496
842	0.03859484612
843	0.03847051353
844	0.03843900103
845	0.03834392393
846	0.03825914751
847	0.03817909354
848	0.03808935831
849	0.03800690871
850	0.03796459601
851	0.03787316765
852	0.03777430132
853	0.03768562407
854	0.03761087208
855	0.03755601525
856	0.03747166261
857	0.03736448771
858	0.03732092613
859	0.03720395647
860	0.03714189531
861	0.0370698839
862	0.03697626775
863	0.03690371767
864	0.03686200064
865	0.03677049792
866	0.03672372931
867	0.03668097652
868	0.03666111073
869	0.03658977693
870	0.03649188053
871	0.0364167814
872	0.0363316876
873	0.03625658661
874	0.03617062523
875	0.03610384169
876	0.03601717254
877	0.03593618003
878	0.03586570492
879	0.03577898379
880	0.03571342904
881	0.03565076638
882	0.03562445437
883	0.0355422008
884	0.03546404642
885	0.03539980709
886	0.03533119773
887	0.03524320874
888	0.03519308312
889	0.0351206742
890	0.03504537497
891	0.03497781418
892	0.03490367456
893	0.03480716067
894	0.03471377078
895	0.034612185
896	0.03456837717
897	0.03452107239
898	0.03447236196
899	0.03439700811
900	0.03435496804
901	0.03429249725
902	0.03425415502
903	0.0341398532
904	0.03408322455
905	0.03403368639
906	0.03397417376
907	0.03389452596
908	0.03380194255
909	0.03376564848
910	0.03372212682
911	0.03360782839
912	0.03352910443
913	0.03344942339
914	0.0334050331
915	0.03333497646
916	0.03323865869
917	0.03319820645
918	0.03314370915
919	0.03306485311
920	0.03302618799
921	0.03294611094
922	0.03291040721
923	0.0328734606
924	0.0327818784
925	0.03271398096
926	0.03265700172
927	0.0326046635
928	0.03253066603
929	0.03245617256
930	0.03240133171
931	0.03235223584
932	0.03233022548
933	0.03227678992
934	0.03223169115
935	0.03219657513
936	0.03213990071
937	0.0320954858
938	0.03206103321
939	0.03202413148
940	0.03197315744
941	0.03190867746
942	0.03182917842
943	0.03181456364
944	0.03171655814
945	0.03167253893
946	0.03160734707
947	0.03157013944
948	0.03147681439
949	0.03144476142
950	0.03138452718
951	0.03132052463
952	0.03123974599
953	0.03120309783
954	0.03115717867
955	0.03110612291
956	0.03103040454
957	0.03098199957
958	0.03091222069
959	0.03087106076
960	0.03082637984
961	0.03075653785
962	0.03066820196
963	0.03064628425
964	0.03058298273
965	0.03053041946
966	0.03047424657
967	0.03041472405
968	0.03037618108
969	0.03034156459
970	0.03030499667
971	0.03025899652
972	0.03020311646
973	0.03017910604
974	0.03009506753
975	0.03008386977
976	0.03006130207
977	0.03000598662
978	0.02992865342
979	0.02988676286
980	0.02985254086
981	0.02976120149
982	0.02970517173
983	0.02965208535
984	0.02961837238
985	0.02958162514
986	0.02950088029
987	0.02945489452
988	0.02941284302
989	0.02936920776
990	0.0292809818
991	0.02924659506
992	0.02919998063
993	0.02914343479
994	0.02912552932
995	0.02905809988
996	0.0290249583
997	0.02901160822
998	0.02894502083
999	0.02888249151
